Iteration	expected_value	risk	lambda
55	1442.491	2707.161	0.040
56	1442.491	2707.161	0.040
57	1442.491	2707.161	0.040
58	1442.491	2707.161	0.040
59	1442.491	2707.161	0.040
60	1442.491	2707.161	0.040
61	1442.491	2707.161	0.040
62	1442.491	2707.161	0.040
63	1442.491	2707.161	0.040
64	1442.491	2707.161	0.040
65	1442.491	2707.161	0.040
66	1442.491	2707.161	0.040
67	1442.491	2707.161	0.040
68	1442.491	2707.161	0.040
69	1442.491	2707.161	0.040
70	1442.491	2707.161	0.040
71	1442.491	2707.161	0.040
72	1442.491	2707.161	0.040
73	1442.491	2707.161	0.040
74	1442.491	2707.161	0.040
75	1442.491	2707.161	0.040
76	1442.491	2707.161	0.040
77	1442.491	2707.161	0.040
78	1442.491	2707.161	0.040
79	1442.491	2707.161	0.040
80	1442.491	2707.161	0.040
81	1442.491	2707.161	0.040
82	1442.491	2707.161	0.040
83	1442.491	2707.161	0.040
84	1442.491	2707.161	0.040
85	1442.491	2707.161	0.040
86	1442.491	2707.161	0.040
87	1442.491	2707.161	0.040
88	1442.491	2707.161	0.040
89	1442.491	2707.161	0.040
90	1442.491	2707.161	0.040
91	1442.491	2707.161	0.040
92	1442.491	2707.161	0.040
93	1442.491	2707.161	0.040
94	1442.491	2707.161	0.040
95	1442.491	2707.161	0.040
96	1442.491	2707.161	0.040
97	1442.491	2707.161	0.040
98	1442.491	2707.161	0.040
99	1442.491	2707.161	0.040
1	714.564	1492.791	0.050
2	970.453	1452.180	0.050
3	984.221	1860.270	0.050
4	827.628	2911.682	0.050
5	1204.131	2633.067	0.050
6	969.503	1383.928	0.050
7	911.916	1295.594	0.050
8	1040.184	2932.066	0.050
9	1430.084	1475.400	0.050
10	1623.282	3396.533	0.050
11	1110.273	2465.240	0.050
12	1329.743	3769.876	0.050
13	1126.106	3262.931	0.050
14	1352.008	5498.404	0.050
15	1783.268	3611.566	0.050
16	1545.713	3786.710	0.050
17	1328.148	2100.241	0.050
18	1807.665	4126.178	0.050
19	1807.665	4126.178	0.050
20	1657.409	1721.740	0.050
21	1657.409	1721.740	0.050
22	1657.409	1721.740	0.050
23	1657.409	1721.740	0.050
24	1657.409	1721.740	0.050
25	831.096	2312.734	0.050
26	831.096	2312.734	0.050
27	831.096	2312.734	0.050
28	831.096	2312.734	0.050
29	831.096	2312.734	0.050
30	831.096	2312.734	0.050
31	831.096	2312.734	0.050
32	1664.470	2477.771	0.050
33	1664.470	2477.771	0.050
34	1664.470	2477.771	0.050
35	1664.470	2477.771	0.050
36	1664.470	2477.771	0.050
37	1664.470	2477.771	0.050
38	1664.470	2477.771	0.050
39	1664.470	2477.771	0.050
40	1664.470	2477.771	0.050
41	1664.470	2477.771	0.050
42	1664.470	2477.771	0.050
43	1664.470	2477.771	0.050
44	1664.470	2477.771	0.050
45	1664.470	2477.771	0.050
46	1664.470	2477.771	0.050
47	1664.470	2477.771	0.050
48	1664.470	2477.771	0.050
49	1664.470	2477.771	0.050
50	1664.470	2477.771	0.050
51	1664.470	2477.771	0.050
52	1664.470	2477.771	0.050
53	1664.470	2477.771	0.050
54	1664.470	2477.771	0.050
55	1664.470	2477.771	0.050
56	1664.470	2477.771	0.050
57	1664.470	2477.771	0.050
58	1664.470	2477.771	0.050
59	1664.470	2477.771	0.050
60	1664.470	2477.771	0.050
61	1664.470	2477.771	0.050
62	1664.470	2477.771	0.050
63	1664.470	2477.771	0.050
64	1664.470	2477.771	0.050
65	1664.470	2477.771	0.050
66	1664.470	2477.771	0.050
67	1664.470	2477.771	0.050
68	1664.470	2477.771	0.050
69	1664.470	2477.771	0.050
70	1664.470	2477.771	0.050
71	1664.470	2477.771	0.050
72	1664.470	2477.771	0.050
73	1664.470	2477.771	0.050
74	1664.470	2477.771	0.050
75	1664.470	2477.771	0.050
76	1664.470	2477.771	0.050
77	1664.470	2477.771	0.050
78	1664.470	2477.771	0.050
79	1664.470	2477.771	0.050
80	1664.470	2477.771	0.050
81	1664.470	2477.771	0.050
82	1664.470	2477.771	0.050
83	1664.470	2477.771	0.050
84	1664.470	2477.771	0.050
85	1664.470	2477.771	0.050
86	1664.470	2477.771	0.050
87	1664.470	2477.771	0.050
88	1664.470	2477.771	0.050
89	1664.470	2477.771	0.050
90	1664.470	2477.771	0.050
91	1664.470	2477.771	0.050
92	1664.470	2477.771	0.050
93	1664.470	2477.771	0.050
94	1664.470	2477.771	0.050
95	1664.470	2477.771	0.050
96	1664.470	2477.771	0.050
97	1664.470	2477.771	0.050
98	1664.470	2477.771	0.050
99	1664.470	2477.771	0.050
1	857.477	1477.078	0.060
2	1164.544	1436.893	0.060
3	1181.065	1840.689	0.060
4	993.153	2881.033	0.060
5	1444.958	2605.351	0.060
6	1163.404	1369.361	0.060
7	1208.318	3054.792	0.060
8	1716.101	1459.869	0.060
9	1947.938	3360.780	0.060
10	1332.328	2439.290	0.060
11	1975.993	2419.755	0.060
12	1975.993	2419.755	0.060
13	2117.578	1767.267	0.060
14	1854.856	3746.849	0.060
15	1594.064	1740.796	0.060
16	1594.064	1740.796	0.060
17	1594.064	1740.796	0.060
18	997.315	2288.389	0.060
19	997.315	2288.389	0.060
20	997.315	2288.389	0.060
21	997.315	2288.389	0.060
22	1631.296	2596.717	0.060
23	1606.935	2404.706	0.060
24	1162.053	2606.424	0.060
25	2275.078	2495.962	0.060
26	2275.078	2495.962	0.060
27	1595.692	3730.193	0.060
28	1351.327	3228.584	0.060
29	1345.893	2126.580	0.060
30	1622.409	5440.526	0.060
31	2121.398	5656.074	0.060
32	1345.610	2772.984	0.060
33	1345.610	2772.984	0.060
34	1345.610	2772.984	0.060
35	1345.610	2772.984	0.060
36	1345.610	2772.984	0.060
37	1345.610	2772.984	0.060
38	1345.610	2772.984	0.060
39	2375.883	2334.834	0.060
40	2375.883	2334.834	0.060
41	2375.883	2334.834	0.060
42	2375.883	2334.834	0.060
43	2375.883	2334.834	0.060
44	2375.883	2334.834	0.060
45	2375.883	2334.834	0.060
46	2375.883	2334.834	0.060
47	2375.883	2334.834	0.060
48	2375.883	2334.834	0.060
49	2375.883	2334.834	0.060
50	2375.883	2334.834	0.060
51	2375.883	2334.834	0.060
52	2375.883	2334.834	0.060
53	2375.883	2334.834	0.060
54	2375.883	2334.834	0.060
55	2375.883	2334.834	0.060
56	2375.883	2334.834	0.060
57	2375.883	2334.834	0.060
58	2375.883	2334.834	0.060
59	2375.883	2334.834	0.060
60	2375.883	2334.834	0.060
61	2375.883	2334.834	0.060
