Iteration	expected_value	risk	lambda
13	3108.765	2231.691	0.140
14	2711.456	2384.601	0.140
15	2711.456	2384.601	0.140
16	3603.305	3163.539	0.140
17	3603.305	3163.539	0.140
18	3603.305	3163.539	0.140
19	5001.193	1723.052	0.140
20	4327.996	3427.969	0.140
21	3719.483	1592.643	0.140
22	3719.483	1592.643	0.140
23	3719.483	1592.643	0.140
24	3719.483	1592.643	0.140
25	3719.483	1592.643	0.140
26	3719.483	1592.643	0.140
27	3719.483	1592.643	0.140
28	5076.910	2409.647	0.140
29	3749.514	2200.050	0.140
30	3749.514	2200.050	0.140
31	3749.514	2200.050	0.140
32	3749.514	2200.050	0.140
33	3749.514	2200.050	0.140
34	3749.514	2200.050	0.140
35	3749.514	2200.050	0.140
36	3749.514	2200.050	0.140
37	3749.514	2200.050	0.140
38	3749.514	2200.050	0.140
39	3749.514	2200.050	0.140
40	5136.210	2967.982	0.140
41	5136.210	2967.982	0.140
42	5136.210	2967.982	0.140
43	5136.210	2967.982	0.140
44	5136.210	2967.982	0.140
45	5136.210	2967.982	0.140
46	5136.210	2967.982	0.140
47	5136.210	2967.982	0.140
48	5136.210	2967.982	0.140
49	5136.210	2967.982	0.140
1	2286.605	1319.942	0.160
2	3105.450	1284.032	0.160
3	4001.587	2003.077	0.160
4	4655.410	2501.462	0.160
5	3112.358	2883.645	0.160
6	3719.983	2458.544	0.160
7	5085.467	2602.283	0.160
8	3514.361	1389.675	0.160
9	3637.305	2964.154	0.160
10	3637.305	2964.154	0.160
11	5465.731	2460.059	0.160
12	2648.409	2574.540	0.160
13	3094.573	3123.537	0.160
14	3762.061	4345.319	0.160
15	5815.423	3246.967	0.160
16	5815.423	3246.967	0.160
17	5269.316	2162.335	0.160
18	5269.316	2162.335	0.160
19	5869.954	2898.959	0.160
20	3757.557	6101.396	0.160
21	5704.314	2233.612	0.160
22	3546.827	1471.667	0.160
23	5706.456	3193.385	0.160
24	4255.179	3333.364	0.160
25	4255.179	3333.364	0.160
26	4255.179	3333.364	0.160
27	4255.179	3333.364	0.160
28	4255.179	3333.364	0.160
29	4255.179	3333.364	0.160
30	4255.179	3333.364	0.160
31	4255.179	3333.364	0.160
32	4255.179	3333.364	0.160
33	4255.179	3333.364	0.160
34	4255.179	3333.364	0.160
35	6174.374	4889.027	0.160
36	6174.374	4889.027	0.160
37	6174.374	4889.027	0.160
38	6174.374	4889.027	0.160
39	6174.374	4889.027	0.160
40	6174.374	4889.027	0.160
41	6174.374	4889.027	0.160
42	6174.374	4889.027	0.160
43	6174.374	4889.027	0.160
44	6174.374	4889.027	0.160
45	6174.374	4889.027	0.160
46	6174.374	4889.027	0.160
47	6174.374	4889.027	0.160
48	6174.374	4889.027	0.160
49	6174.374	4889.027	0.160
1	2572.431	1288.515	0.180
2	3493.631	1253.460	0.180
3	4501.786	1955.384	0.180
4	5237.336	2441.904	0.180
5	3501.403	2814.986	0.180
6	4184.981	2400.007	0.180
7	5721.150	2540.324	0.180
8	3953.656	1356.588	0.180
9	4091.968	2893.579	0.180
10	4091.968	2893.579	0.180
11	6148.948	2401.487	0.180
12	2979.460	2513.241	0.180
13	3481.394	3049.167	0.180
14	4232.319	4241.859	0.180
15	6542.351	3169.658	0.180
16	6542.351	3169.658	0.180
17	5927.980	2110.850	0.180
18	5927.980	2110.850	0.180
19	6603.698	2829.936	0.180
20	4227.252	5956.125	0.180
21	6417.353	2180.431	0.180
22	6417.353	2180.431	0.180
23	6417.353	2180.431	0.180
24	6417.353	2180.431	0.180
25	6417.353	2180.431	0.180
26	6417.353	2180.431	0.180
27	6419.763	3117.352	0.180
28	6419.763	3117.352	0.180
29	6419.763	3117.352	0.180
30	6419.763	3117.352	0.180
31	6419.763	3117.352	0.180
32	6419.763	3117.352	0.180
33	6419.763	3117.352	0.180
34	6419.763	3117.352	0.180
35	6419.763	3117.352	0.180
36	6419.763	3117.352	0.180
37	6419.763	3117.352	0.180
38	6419.763	3117.352	0.180
39	6419.763	3117.352	0.180
40	6419.763	3117.352	0.180
41	6419.763	3117.352	0.180
42	6419.763	3117.352	0.180
43	6419.763	3117.352	0.180
44	6419.763	3117.352	0.180
45	6419.763	3117.352	0.180
46	6419.763	3117.352	0.180
47	6419.763	3117.352	0.180
48	6419.763	3117.352	0.180
49	6419.763	3117.352	0.180
1	2858.257	1257.087	0.200
2	3881.812	1222.888	0.200
3	5001.984	1907.692	0.200
4	5819.262	2382.345	0.200
5	3890.448	2746.328	0.200
6	4649.979	2341.470	0.200
7	6356.833	2478.365	0.200
8	4546.631	2823.004	0.200
9	4754.749	1431.344	0.200
10	3878.013	1165.413	0.200
11	3868.249	1968.508	0.200
12	6231.629	2518.149	0.200
13	3955.898	1939.874	0.200
14	4341.969	3345.522	0.200
15	4647.955	2399.904	0.200
16	4078.177	1680.037	0.200
17	5980.535	3815.110	0.200
18	6832.164	2342.914	0.200
19	6832.164	2342.914	0.200
20	6548.574	2709.562	0.200
21	4702.576	4138.399	0.200
22	4504.422	2747.731	0.200
23	5148.940	1220.133	0.200
24	7130.392	2127.249	0.200
25	6705.199	2306.064	0.200
26	7133.071	3041.319	0.200
27	7441.465	3926.139	0.200
28	7441.465	3926.139	0.200
29	7441.465	3926.139	0.200
30	7878.170	2244.886	0.200
31	7878.170	2244.886	0.200
32	7878.170	2244.886	0.200
33	7878.170	2244.886	0.200
34	6586.645	2059.366	0.200
35	6586.645	2059.366	0.200
36	7252.728	2241.532	0.200
37	7252.728	2241.532	0.200
38	7252.728	2241.532	0.200
39	7252.728	2241.532	0.200
40	7252.728	2241.532	0.200
41	7252.728	2241.532	0.200
42	7252.728	2241.532	0.200
43	7252.728	2241.532	0.200
44	7252.728	2241.532	0.200
45	7252.728	2241.532	0.200
46	7252.728	2241.532	0.200
47	7252.728	2241.532	0.200
48	7252.728	2241.532	0.200
49	7252.728	2241.532	0.200
1	3144.083	1225.660	0.220
2	4269.993	1192.316	0.220
3	5502.183	1860.000	0.220
4	6401.188	2322.787	0.220
5	4279.492	2677.670	0.220
6	5114.977	2282.934	0.220
7	6992.517	2416.406	0.220
8	5001.294	2752.429	0.220
9	5230.224	1395.560	0.220
10	4265.814	1136.278	0.220
11	4255.074	1919.295	0.220
12	6854.792	2455.195	0.220
13	4351.488	1891.377	0.220
14	4776.165	3261.884	0.220
15	5112.751	2339.907	0.220
16	4485.995	1638.036	0.220
17	6578.588	3719.732	0.220
18	7515.380	2284.341	0.220
19	7515.380	2284.341	0.220
20	7203.432	2641.823	0.220
21	5172.834	4034.939	0.220
22	4954.865	2679.038	0.220
23	5663.834	1189.630	0.220
24	7843.431	2074.068	0.220
25	7375.719	2248.412	0.220
26	7846.378	2965.286	0.220
27	4933.905	2300.986	0.220
28	4933.905	2300.986	0.220
