Iteration	expected_value	risk	lambda
47	4500.407	3423.964	0.100
48	4887.462	3761.119	0.100
49	4713.767	4373.029	0.100
1	6673.458	5037.362	0.120
2	6251.367	5191.932	0.120
3	6313.650	4506.663	0.120
4	6171.454	4855.974	0.120
5	6228.174	4178.461	0.120
6	6067.931	4654.656	0.120
7	6069.298	4549.722	0.120
8	6417.016	6032.750	0.120
9	6017.204	4534.071	0.120
10	5552.738	4137.112	0.120
11	5712.602	4270.042	0.120
12	6080.161	4604.138	0.120
13	5199.711	4308.780	0.120
14	5578.998	4130.465	0.120
15	5188.932	3407.500	0.120
16	5568.218	3508.755	0.120
17	4991.382	3187.595	0.120
18	5370.668	3304.416	0.120
19	5242.321	4070.430	0.120
20	5940.770	3793.068	0.120
21	5765.934	4580.897	0.120
22	6209.455	3915.636	0.120
23	5503.156	3597.495	0.120
24	5411.491	3459.338	0.120
25	5090.068	3438.093	0.120
26	5444.090	3647.057	0.120
27	5757.296	4786.163	0.120
28	5783.273	4588.373	0.120
29	5435.272	4587.233	0.120
30	5729.563	4228.131	0.120
31	5313.427	3977.134	0.120
32	5692.700	4080.300	0.120
33	6270.484	4427.288	0.120
34	5948.510	4342.495	0.120
35	6801.838	4885.434	0.120
36	6162.052	4707.932	0.120
37	5650.199	4083.246	0.120
38	5670.255	3408.566	0.120
39	5604.451	3404.453	0.120
40	5652.453	3514.416	0.120
41	5633.174	4678.013	0.120
42	6001.415	4271.890	0.120
43	5195.637	4728.211	0.120
44	5644.370	4084.628	0.120
45	5948.382	4417.312	0.120
46	6016.964	4245.247	0.120
47	5400.489	3347.876	0.120
48	5864.954	3677.538	0.120
49	5656.520	4275.851	0.120
1	7785.701	4922.876	0.140
2	7293.261	5073.934	0.140
3	7365.925	4404.239	0.140
4	7200.030	4745.611	0.140
5	7266.203	4083.496	0.140
6	7079.253	4548.868	0.140
7	7080.847	4446.319	0.140
8	7486.519	5895.642	0.140
9	7020.071	4431.024	0.140
10	6478.195	4043.087	0.140
11	6664.702	4172.995	0.140
12	7093.521	4499.498	0.140
13	6066.330	4210.853	0.140
14	6508.831	4036.591	0.140
15	6053.754	3330.057	0.140
16	6496.254	3429.011	0.140
17	5823.279	3115.149	0.140
18	6265.780	3229.315	0.140
19	6116.041	3977.920	0.140
20	6930.899	3706.862	0.140
21	6726.922	4476.786	0.140
22	7244.364	3826.645	0.140
23	6420.349	3515.734	0.140
24	6313.406	3380.717	0.140
25	5938.412	3359.955	0.140
26	6351.438	3564.169	0.140
27	6716.845	4677.386	0.140
28	6747.151	4484.092	0.140
29	6341.151	4482.977	0.140
30	6684.490	4132.037	0.140
31	6198.999	3886.744	0.140
32	6641.483	3987.566	0.140
33	7315.564	4326.667	0.140
34	6939.928	4243.802	0.140
35	7935.477	4774.402	0.140
36	7189.060	4600.934	0.140
37	6591.899	3990.445	0.140
38	6615.298	3331.099	0.140
39	6538.526	3327.080	0.140
40	6594.528	3434.543	0.140
41	6572.037	4571.694	0.140
42	7001.651	4174.801	0.140
43	6061.577	4620.751	0.140
44	6585.098	3991.795	0.140
45	6939.779	4316.919	0.140
46	7019.792	4148.764	0.140
47	6300.570	3271.788	0.140
48	6842.447	3593.958	0.140
49	6599.273	4178.672	0.140
1	8897.944	4808.391	0.160
2	8335.156	4955.935	0.160
3	8418.200	4301.815	0.160
4	7794.516	5060.527	0.160
5	7896.796	4350.730	0.160
6	8090.574	4443.081	0.160
7	8092.397	4342.916	0.160
8	8556.022	5758.534	0.160
9	8022.939	4327.977	0.160
10	7403.651	3949.062	0.160
11	7868.062	3896.183	0.160
12	7756.421	4528.847	0.160
13	8088.306	3965.545	0.160
14	8538.137	4017.900	0.160
15	7279.071	3657.214	0.160
16	7777.638	3727.605	0.160
17	7119.033	3522.844	0.160
18	7738.321	3751.480	0.160
19	6916.664	3237.390	0.160
20	7535.951	3501.281	0.160
21	6655.176	3042.704	0.160
22	7094.902	3278.255	0.160
23	6733.990	3664.297	0.160
24	7163.589	3709.359	0.160
25	8005.652	4358.363	0.160
26	7700.270	4135.463	0.160
27	8920.547	4760.722	0.160
28	7582.306	3660.650	0.160
29	8809.357	4399.294	0.160
