Iteration	expexted_value	risk	lambda
10	6060.515	2667.324	0.140
11	6351.661	2888.518	0.140
12	6351.661	2888.518	0.140
13	5992.795	2487.577	0.140
14	5635.897	2416.706	0.140
15	5720.043	2721.980	0.140
16	5894.468	2305.735	0.140
17	6034.614	2661.221	0.140
18	6126.530	2496.824	0.140
19	5925.743	2717.210	0.140
20	5932.502	2501.970	0.140
21	6329.327	2572.994	0.140
22	5871.971	2612.291	0.140
23	5871.971	2612.291	0.140
24	6407.918	2490.455	0.140
25	6149.449	2542.034	0.140
26	6782.353	2733.917	0.140
27	6802.361	2575.843	0.140
28	7029.784	2691.160	0.140
29	7029.784	2691.160	0.140
30	7021.326	2772.864	0.140
31	7021.326	2772.864	0.140
32	7021.326	2772.864	0.140
33	7021.326	2772.864	0.140
34	7100.426	2847.652	0.140
35	6894.549	2915.626	0.140
36	6894.549	2915.626	0.140
37	7326.069	2852.700	0.140
38	6541.810	2780.384	0.140
39	7440.661	2911.809	0.140
40	7105.088	3033.809	0.140
41	7105.088	3033.809	0.140
42	7105.088	3033.809	0.140
43	6596.694	2815.500	0.140
44	6596.694	2815.500	0.140
45	6894.769	3039.417	0.140
46	6894.769	3039.417	0.140
47	6894.769	3039.417	0.140
48	6894.769	3039.417	0.140
49	6894.769	3039.417	0.140
1	6561.640	2763.235	0.160
2	6171.243	2239.549	0.160
3	6335.605	2353.040	0.160
4	6750.409	2717.349	0.160
5	7147.786	2839.315	0.160
6	6771.053	2906.632	0.160
7	5985.354	2105.220	0.160
8	6422.351	2855.191	0.160
9	6646.884	2396.562	0.160
10	6926.303	2605.293	0.160
11	7259.041	2821.343	0.160
12	7259.041	2821.343	0.160
13	6848.908	2429.727	0.160
14	6441.025	2360.504	0.160
15	6537.192	2658.678	0.160
16	6736.534	2252.113	0.160
17	6896.701	2599.332	0.160
18	7001.748	2438.758	0.160
19	6772.278	2654.019	0.160
20	6780.002	2443.784	0.160
21	7233.517	2513.157	0.160
22	6710.824	2551.540	0.160
23	7323.334	2432.537	0.160
24	7323.334	2432.537	0.160
25	7323.334	2432.537	0.160
26	6391.368	2556.270	0.160
27	6391.368	2556.270	0.160
28	6391.368	2556.270	0.160
29	6391.368	2556.270	0.160
30	6391.368	2556.270	0.160
31	6391.368	2556.270	0.160
32	6391.368	2556.270	0.160
33	6841.743	2489.153	0.160
34	7290.003	2747.945	0.160
35	7290.003	2747.945	0.160
36	7536.049	3200.707	0.160
37	6789.275	2298.119	0.160
38	6809.079	2588.830	0.160
39	6809.079	2588.830	0.160
40	6572.154	2222.736	0.160
41	6785.657	2428.204	0.160
42	6626.946	2663.576	0.160
43	6621.696	2558.073	0.160
44	7112.004	2892.810	0.160
45	7044.770	2935.758	0.160
46	6679.518	2464.303	0.160
47	6679.518	2464.303	0.160
48	6679.518	2464.303	0.160
49	6679.518	2464.303	0.160
1	7381.845	2697.443	0.180
2	6942.649	2186.226	0.180
3	7127.555	2297.015	0.180
4	7594.210	2652.651	0.180
5	8041.259	2771.712	0.180
6	7617.435	2837.426	0.180
7	6733.523	2055.096	0.180
8	7225.144	2787.210	0.180
9	7477.745	2339.501	0.180
10	7792.091	2543.262	0.180
11	8166.421	2754.168	0.180
12	8166.421	2754.168	0.180
13	7705.022	2371.876	0.180
14	7246.154	2304.301	0.180
15	7354.341	2595.376	0.180
16	7578.601	2198.492	0.180
17	7758.789	2537.443	0.180
18	7876.967	2380.693	0.180
19	7618.812	2590.829	0.180
20	7627.502	2385.599	0.180
21	8137.706	2453.320	0.180
22	7549.677	2490.789	0.180
23	8238.751	2374.620	0.180
24	8238.751	2374.620	0.180
25	8238.751	2374.620	0.180
26	7190.288	2495.407	0.180
27	7190.288	2495.407	0.180
28	7190.288	2495.407	0.180
29	7190.288	2495.407	0.180
30	7190.288	2495.407	0.180
31	7190.288	2495.407	0.180
32	7190.288	2495.407	0.180
33	7696.961	2429.887	0.180
34	8201.254	2682.518	0.180
35	8201.254	2682.518	0.180
36	8478.055	3124.499	0.180
37	7637.934	2243.402	0.180
38	7660.213	2527.191	0.180
39	7660.213	2527.191	0.180
40	8216.386	2546.257	0.180
41	8216.386	2546.257	0.180
42	8216.386	2546.257	0.180
43	8216.386	2546.257	0.180
44	8216.386	2546.257	0.180
45	8216.386	2546.257	0.180
46	8216.386	2546.257	0.180
47	7531.070	3041.500	0.180
48	7851.941	2427.566	0.180
49	7658.666	2860.965	0.180
1	8202.050	2631.652	0.200
2	7714.054	2132.904	0.200
3	7919.506	2240.990	0.200
4	7989.209	2434.543	0.200
5	8051.282	2248.099	0.200
6	8460.139	2845.278	0.200
7	8751.658	2406.799	0.200
8	8930.835	2477.323	0.200
9	8386.349	2436.385	0.200
10	8367.856	2967.317	0.200
11	8367.856	2967.317	0.200
12	8803.064	3056.820	0.200
13	8475.002	2327.414	0.200
14	8475.002	2327.414	0.200
15	8752.186	2322.627	0.200
16	8752.186	2322.627	0.200
17	8752.186	2322.627	0.200
18	8557.520	2519.320	0.200
19	8595.158	2407.554	0.200
20	8388.530	2430.038	0.200
21	9154.168	2316.702	0.200
22	8784.927	2364.683	0.200
23	9689.076	2543.179	0.200
24	9717.659	2396.133	0.200
25	10042.549	2503.405	0.200
26	10042.549	2503.405	0.200
27	10030.465	2579.408	0.200
28	10030.465	2579.408	0.200
29	10030.465	2579.408	0.200
30	10030.465	2579.408	0.200
31	10143.466	2648.979	0.200
32	9849.356	2712.210	0.200
33	9849.356	2712.210	0.200
34	8955.576	2384.502	0.200
35	8955.576	2384.502	0.200
36	8955.576	2384.502	0.200
37	8955.576	2384.502	0.200
38	7938.030	2148.747	0.200
39	7481.692	2004.971	0.200
40	8276.883	2199.079	0.200
41	8463.835	2513.573	0.200
42	8984.140	2425.032	0.200
43	8934.732	2704.109	0.200
44	8824.115	2377.346	0.200
45	8509.629	2791.185	0.200
46	8509.629	2791.185	0.200
47	8509.629	2791.185	0.200
48	8509.629	2791.185	0.200
49	9034.761	2449.249	0.200
1	9022.255	2565.861	0.220
2	8485.459	2079.581	0.220
3	8711.457	2184.966	0.220
4	8788.130	2373.679	0.220
5	8856.410	2191.896	0.220
6	9306.153	2774.146	0.220
7	9626.824	2346.629	0.220
8	9823.919	2415.390	0.220
9	9224.984	2375.475	0.220
10	9204.641	2893.134	0.220
11	9204.641	2893.134	0.220
12	9683.370	2980.399	0.220
13	9322.503	2269.228	0.220
14	9322.503	2269.228	0.220
15	9627.404	2264.561	0.220
16	9627.404	2264.561	0.220
17	9627.404	2264.561	0.220
18	9413.272	2456.337	0.220
19	9454.674	2347.365	0.220
20	9227.383	2369.287	0.220
21	10069.585	2258.784	0.220
22	9663.420	2305.566	0.220
23	10657.983	2479.599	0.220
24	9851.133	2324.890	0.220
25	9851.133	2324.890	0.220
26	9851.133	2324.890	0.220
27	9851.133	2324.890	0.220
28	8731.833	2095.029	0.220
29	8229.862	1954.847	0.220
30	9104.571	2144.102	0.220
31	9310.218	2450.733	0.220
32	9882.554	2364.406	0.220
33	9828.206	2636.507	0.220
34	9706.527	2317.912	0.220
35	9360.592	2721.405	0.220
36	9379.826	2398.476	0.220
37	9310.198	2699.015	0.220
38	9310.198	2699.015	0.220
39	9310.198	2699.015	0.220
40	9310.198	2699.015	0.220
41	9485.538	2334.132	0.220
42	9407.397	2311.356	0.220
43	9335.253	2133.967	0.220
44	9362.483	2403.913	0.220
45	10211.559	2561.753	0.220
46	10211.559	2561.753	0.220
47	10211.559	2561.753	0.220
48	10211.559	2561.753	0.220
49	10211.559	2561.753	0.220
1	9842.460	2500.069	0.240
2	9256.865	2026.259	0.240
3	9503.407	2128.941	0.240
4	9587.051	2312.816	0.240
5	9661.538	2135.694	0.240
6	10152.167	2703.015	0.240
7	10501.990	2286.459	0.240
8	10717.003	2353.457	0.240
9	10063.618	2314.565	0.240
10	10041.427	2818.951	0.240
11	10041.427	2818.951	0.240
12	10563.677	2903.979	0.240
13	10170.003	2211.043	0.240
14	10170.003	2211.043	0.240
15	10502.623	2206.496	0.240
16	10502.623	2206.496	0.240
17	10502.623	2206.496	0.240
18	10269.024	2393.354	0.240
19	10314.190	2287.176	0.240
20	10066.236	2308.536	0.240
21	10985.002	2200.867	0.240
22	10541.913	2246.449	0.240
23	11626.891	2416.020	0.240
24	10746.691	2265.277	0.240
25	10746.691	2265.277	0.240
26	10746.691	2265.277	0.240
27	10746.691	2265.277	0.240
28	9525.636	2041.310	0.240
29	8978.031	1904.723	0.240
30	9932.259	2089.125	0.240
31	10156.602	2387.894	0.240
32	10780.968	2303.781	0.240
33	10721.679	2568.904	0.240
34	10588.938	2258.479	0.240
35	10211.555	2651.626	0.240
36	10232.537	2336.976	0.240
37	10156.580	2629.810	0.240
38	10156.580	2629.810	0.240
39	10156.580	2629.810	0.240
40	10156.580	2629.810	0.240
41	10347.860	2274.283	0.240
42	10262.614	2252.090	0.240
43	10183.912	2079.250	0.240
44	10213.618	2342.274	0.240
45	11139.883	2496.067	0.240
